Device Number: 0
  Device name: NVIDIA A100-PCIE-40GB
  Memory Clock Rate (KHz): 1215000
  Memory Bus Width (bits): 5120
  Peak Memory Bandwidth (GB/s): 1555.200000

Device Number: 1
  Device name: NVIDIA TITAN RTX
  Memory Clock Rate (KHz): 7001000
  Memory Bus Width (bits): 384
  Peak Memory Bandwidth (GB/s): 672.096000

Iteration time 6.180736 ms
Iteration time 6.160672 ms
Iteration time 6.185792 ms
Iteration time 6.102048 ms
Iteration time 6.179424 ms
Iteration time 6.161728 ms
Iteration time 6.150336 ms
Iteration time 6.110048 ms
Iteration time 6.169856 ms
Iteration time 6.201344 ms
Iteration time 6.197152 ms
Iteration time 6.176768 ms
Iteration time 6.123648 ms
Iteration time 6.244224 ms
Iteration time 6.000672 ms
Iteration time 6.130016 ms
Iteration time 6.140096 ms
Iteration time 6.222528 ms
Iteration time 6.152512 ms
Iteration time 6.174496 ms
Iteration time 6.125984 ms
Iteration time 6.183168 ms
Iteration time 7.038080 ms
Iteration time 6.144544 ms
Iteration time 6.237056 ms
Iteration time 6.119840 ms
Iteration time 6.070432 ms
Iteration time 6.145568 ms
Iteration time 6.149568 ms
Iteration time 6.246880 ms
Iteration time 6.090080 ms
Iteration time 6.085120 ms
Iteration time 6.137280 ms
Iteration time 6.709312 ms
Iteration time 6.077888 ms
Iteration time 6.094464 ms
Iteration time 6.182880 ms
Iteration time 6.196448 ms
Iteration time 6.187744 ms
Iteration time 6.172448 ms
Iteration time 6.236224 ms
Iteration time 6.181600 ms
Iteration time 6.084992 ms
Iteration time 6.113408 ms
Iteration time 6.139456 ms
Iteration time 6.118624 ms
Iteration time 6.200640 ms
Iteration time 6.083264 ms
Iteration time 6.153152 ms
Iteration time 6.157696 ms
Iteration time 6.048512 ms
Iteration time 6.185376 ms
Iteration time 6.164160 ms
Iteration time 6.135040 ms
Iteration time 6.097824 ms
Iteration time 6.197984 ms
Iteration time 6.213984 ms
Iteration time 6.164768 ms
Iteration time 6.159040 ms
Iteration time 6.179488 ms
Iteration time 6.192032 ms
Iteration time 6.185024 ms
Iteration time 6.197184 ms
Iteration time 6.150912 ms
Iteration time 6.310784 ms
Iteration time 6.122528 ms
Iteration time 6.107616 ms
Iteration time 6.148608 ms
Iteration time 6.175072 ms
Iteration time 6.158368 ms
Iteration time 6.128544 ms
Iteration time 6.172864 ms
Iteration time 6.169024 ms
Iteration time 6.124832 ms
Iteration time 6.194848 ms
Iteration time 6.211296 ms
Iteration time 6.092576 ms
Iteration time 6.283776 ms
Iteration time 6.059008 ms
Iteration time 6.200352 ms
Iteration time 6.086976 ms
Iteration time 6.050688 ms
Iteration time 6.106560 ms
Iteration time 6.174656 ms
Iteration time 6.156224 ms
Iteration time 6.090304 ms
Iteration time 6.208256 ms
Iteration time 6.100416 ms
Iteration time 6.129216 ms
Iteration time 6.173568 ms
Iteration time 6.150528 ms
Iteration time 6.131424 ms
Iteration time 6.168512 ms
Iteration time 6.092704 ms
Iteration time 6.148128 ms
Iteration time 6.106304 ms
Iteration time 6.156384 ms
Iteration time 6.320160 ms
Iteration time 6.155392 ms
Iteration time 6.140288 ms
Iteration time 6.156704 ms
Iteration time 6.203040 ms
Iteration time 6.136096 ms
Iteration time 6.165376 ms
Iteration time 6.105120 ms
Iteration time 6.060416 ms
Iteration time 6.109472 ms
Iteration time 6.219680 ms
Iteration time 6.263840 ms
Iteration time 6.351584 ms
Iteration time 6.038784 ms
Iteration time 6.258336 ms
Iteration time 6.132384 ms
Iteration time 6.181152 ms
Iteration time 6.164032 ms
Iteration time 6.155328 ms
Iteration time 6.172512 ms
Iteration time 6.205184 ms
Iteration time 6.219712 ms
Iteration time 6.173184 ms
Iteration time 6.167872 ms
Iteration time 6.192640 ms
Iteration time 6.088896 ms
Iteration time 6.154944 ms
Iteration time 6.074880 ms
Iteration time 6.190592 ms
Iteration time 6.160000 ms
Iteration time 6.192512 ms
Iteration time 6.153696 ms
Iteration time 6.185440 ms
Iteration time 6.280032 ms
Iteration time 6.109664 ms
Iteration time 6.183776 ms
Iteration time 6.158784 ms
Iteration time 6.119328 ms
Iteration time 6.156672 ms
Iteration time 6.195328 ms
Iteration time 6.130016 ms
Iteration time 6.203232 ms
Iteration time 6.105984 ms
Iteration time 6.563872 ms
Iteration time 6.168608 ms
Iteration time 6.142912 ms
Iteration time 6.181472 ms
Iteration time 6.088192 ms
Iteration time 6.207616 ms
Iteration time 6.161888 ms
Iteration time 7.193408 ms
Iteration time 6.205120 ms
Iteration time 6.306272 ms
Iteration time 6.198560 ms
Iteration time 6.192032 ms
Iteration time 6.119680 ms
Iteration time 6.085344 ms
Iteration time 6.101760 ms
Iteration time 6.192096 ms
Iteration time 6.072576 ms
Iteration time 6.207904 ms
Iteration time 6.175456 ms
Iteration time 6.328672 ms
Iteration time 6.192896 ms
Iteration time 6.152832 ms
Iteration time 6.184032 ms
Iteration time 6.294784 ms
Iteration time 6.029376 ms
Iteration time 6.007968 ms
Iteration time 6.376864 ms
Iteration time 6.205792 ms
Iteration time 6.339744 ms
Iteration time 6.123008 ms
Iteration time 6.170848 ms
Iteration time 6.090784 ms
Iteration time 6.165440 ms
Iteration time 6.077824 ms
Iteration time 6.163040 ms
Iteration time 6.112704 ms
Iteration time 6.185152 ms
Iteration time 6.431104 ms
Iteration time 6.100960 ms
Iteration time 6.124864 ms
Iteration time 6.182560 ms
Iteration time 6.144576 ms
Iteration time 11.132160 ms
Iteration time 6.339840 ms
Iteration time 6.408640 ms
Iteration time 7.845664 ms
Iteration time 6.636064 ms
Iteration time 6.276256 ms
Iteration time 6.242240 ms
Iteration time 6.241504 ms
Iteration time 6.264256 ms
Iteration time 6.093248 ms
Iteration time 6.295744 ms
Iteration time 6.179296 ms
Iteration time 6.534816 ms
Iteration time 6.227200 ms
Iteration time 6.173344 ms
Iteration time 6.137344 ms
Iteration time 6.210080 ms
Iteration time 6.144544 ms
Iteration time 6.171808 ms
Iteration time 6.229984 ms
Iteration time 6.199392 ms
Iteration time 6.222432 ms
Iteration time 6.152992 ms
Iteration time 6.175264 ms
Iteration time 6.173344 ms
Iteration time 6.130976 ms
Iteration time 6.172192 ms
Iteration time 6.209792 ms
Iteration time 6.153952 ms
Iteration time 6.203360 ms
Iteration time 6.161056 ms
Iteration time 6.191072 ms
Iteration time 6.179296 ms
Iteration time 6.121888 ms
Iteration time 6.093856 ms
Iteration time 6.192896 ms
Iteration time 6.158528 ms
Iteration time 6.175392 ms
Iteration time 6.146240 ms
Iteration time 6.222720 ms
Iteration time 6.142976 ms
Iteration time 6.102976 ms
Iteration time 6.205760 ms
Iteration time 6.181056 ms
Iteration time 6.099648 ms
Iteration time 6.322400 ms
Iteration time 6.221440 ms
Iteration time 6.180800 ms
Iteration time 6.136384 ms
Iteration time 6.202784 ms
Iteration time 6.138176 ms
Iteration time 6.141536 ms
Iteration time 6.207456 ms
Iteration time 6.176224 ms
Iteration time 6.138336 ms
Iteration time 6.258432 ms
Iteration time 6.152416 ms
Iteration time 6.156736 ms
Iteration time 6.145696 ms
Iteration time 6.257568 ms
Iteration time 6.242240 ms
Iteration time 6.211424 ms
Iteration time 6.314560 ms
Iteration time 6.333376 ms
Iteration time 6.210944 ms
Iteration time 6.262112 ms
Iteration time 6.250912 ms
Iteration time 6.105728 ms
Iteration time 6.200672 ms
Iteration time 6.159040 ms
Iteration time 6.190048 ms
Iteration time 6.083200 ms
Iteration time 6.165088 ms
Iteration time 6.193600 ms
Iteration time 6.105920 ms
Iteration time 6.191392 ms
Iteration time 6.089344 ms
Iteration time 6.223456 ms
Iteration time 6.338112 ms
Iteration time 6.130784 ms
Iteration time 6.156576 ms
Iteration time 6.146592 ms
Iteration time 6.216192 ms
Iteration time 6.224448 ms
Iteration time 6.203968 ms
Iteration time 6.124608 ms
Iteration time 6.057696 ms
Iteration time 6.194048 ms
Iteration time 6.216128 ms
Iteration time 6.180064 ms
Iteration time 6.188192 ms
Iteration time 6.131488 ms
Iteration time 6.193120 ms
Iteration time 6.145696 ms
Iteration time 6.132832 ms
Iteration time 6.272224 ms
Iteration time 6.151360 ms
Iteration time 6.232128 ms
Iteration time 6.109920 ms
Iteration time 6.160512 ms
Iteration time 6.121024 ms
Iteration time 6.373376 ms
Iteration time 6.091328 ms
Iteration time 6.510816 ms
Iteration time 6.151200 ms
Iteration time 6.179552 ms
Iteration time 6.119488 ms
Iteration time 6.396928 ms
Iteration time 6.210016 ms
Iteration time 6.141856 ms
Iteration time 6.179456 ms
Iteration time 6.334720 ms
Iteration time 6.195232 ms
Iteration time 6.186368 ms
Iteration time 6.185472 ms
Iteration time 6.229088 ms
Iteration time 6.202144 ms
Iteration time 6.145664 ms
Iteration time 6.172416 ms
Iteration time 6.141120 ms
Iteration time 6.235392 ms
Iteration time 6.224928 ms
Iteration time 6.270240 ms
Iteration time 6.165536 ms
Iteration time 6.227840 ms
Iteration time 6.179648 ms
Iteration time 6.206560 ms
Iteration time 6.152256 ms
Iteration time 6.218752 ms
Iteration time 6.133600 ms
Iteration time 6.159840 ms
Iteration time 6.135040 ms
Iteration time 6.174144 ms
Iteration time 6.196512 ms
Iteration time 6.237568 ms
Iteration time 6.251648 ms
Iteration time 6.192384 ms
Iteration time 6.223712 ms
Iteration time 6.173760 ms
Iteration time 6.204064 ms
Iteration time 6.106112 ms
Iteration time 6.182720 ms
Iteration time 6.177792 ms
Iteration time 6.192576 ms
Iteration time 6.339040 ms
Iteration time 6.177696 ms
Iteration time 6.232672 ms
Iteration time 6.135520 ms
Iteration time 6.259104 ms
Iteration time 6.111584 ms
Iteration time 6.270848 ms
Iteration time 6.219520 ms
Iteration time 6.193536 ms
Iteration time 6.221952 ms
Iteration time 6.109824 ms
Iteration time 6.624768 ms
Iteration time 6.184512 ms
Iteration time 6.157760 ms
Iteration time 6.142944 ms
Iteration time 6.486976 ms
Iteration time 6.195296 ms
Iteration time 6.432096 ms
Iteration time 6.116480 ms
Iteration time 6.199520 ms
Iteration time 6.170560 ms
Iteration time 6.084576 ms
Iteration time 6.070912 ms
Iteration time 6.130624 ms
Iteration time 6.067392 ms
Iteration time 6.131552 ms
Iteration time 6.207072 ms
Iteration time 6.107264 ms
Iteration time 6.138848 ms
Iteration time 5.982592 ms
Iteration time 6.500960 ms
Iteration time 6.011328 ms
Iteration time 6.133024 ms
Iteration time 6.216704 ms
Iteration time 6.045344 ms
Iteration time 6.069952 ms
Iteration time 6.250368 ms
Iteration time 6.225952 ms
Iteration time 6.252736 ms
Iteration time 6.218048 ms
Iteration time 6.272160 ms
Iteration time 6.164736 ms
